X,Y,Z,Name,Description,gx_media_links,Suburb,Careful,Coffs Harbour,FYI,Info,NOTE,Note2,Sands,Sans Souci,Thanks to,Tweed Heads West,Warning,Wiley Park
146.9254257,-36.0752574,0,Albury: School Zone RLSC,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUoD6-39Usd8FuCqkAJEo1qVv6ajzKH3YHJ5fkGjz3Wd5cspbhz07ZhMsSfblO1SEdqtJEmL7kTjeWj4JwuYYOXOVKKSyWRaxC7DRV27lnhCfRjiY4rxK3EN3M9_3re-gw8e2WY2BmUmMH0kvn-lO163Pdi0fLczl4JGk5gzyh_My8kfCC14scU78dmekWGgh_a7PI?authuser=0&fife=s16383,,,,,,,Variable Speed Limit Enforced.,,,,,,
151.2011517,-33.9014752,0,Alexandria: Red-Light Speed Cameras,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUjgxR4YGwbRJ-EUklqO89a2em7yeipnfEGZznH4x1A49DieGJx-4cOTOXjAToelPLY361rkta8uFdXjfJUB0B4Pdj3aZTXzDAyenVbTl0HotVu2ivUS7ctfOU4lEPGJR28IkjlsZKiNDgR6xYRdMo9Gq_fvNbjDDXTYo9YWi-aNK9F6GnzLypCQB2RrbPMZ4y8UsY?authuser=0&fife=s16383,,,,,,,,,,,,,
151.202838,-33.905526,0,Alexandria: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUj324WwD6xqYJhiOyf7Z-ObGlzMXFzxZVpoCVLrcvbihGnCu7y0SstIjn8DJs_IQ9qwd-R6uEI_mGIYs983N0_KRnu67oUuQK93htH6NgGGURC9APy6B0vZd9fb6ZfA02e21-qIWTbgpHwju6Umew_7MfuyQ1KVzpvf4FSas19QdExC8qMGke0r96XS2liXIJVCvI?authuser=0&fife=s16383,,,,,,,,,,,,,
151.122571,-33.978499,0,Allawah: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAXwdo3RWZT4iVUJbEuzPZoQk-kG-gLYh7EWXcaFbM2H9aGo8psi6sfEipJ9buak4wIbqrKs-rWdmlixY0lXZfA6TejCnwmdXQHlm4g1r3xA6YU4q_UVnq4wPLidwkh1kCi2tUeC4Qbj2zLDxxbodm8Ubr25h-7zqy9MWm6n0xdiZe9PoR5OaGigcoOUudxNCU4Dnyw?authuser=0&fife=s16383,,,,,,,,,,,,,
151.1174803,-33.8884728,0,Ashfield: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUA5IVrXJpASvtaURSsFRkoLsqtiDboBOVeFOeWyD0O00aS9luDjgNnZx4Mya-YDfHPyTaWsJLbLXByyRWKSLnNl60atkiauB7bhNGb8gZeqTGT1W11aU_PxtX3tJ7stdxcLwc19qaCkycS4NxIFkGBzGwFjXtQh4bU1zYoGgY-8UnWSDlZOEgvPIgPDccOlmbcoYU?authuser=0&fife=s16383,,,,,,,,,,,,,
151.0214619,-33.8481914,0,Auburn: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVpsPZ4ulCEzMjeID4vkH24vrTvA8ztHZ3QbjwCcViSzHs1cJC5Ihhjv-cMGIvgyGiZgUkGbK6bTjTBoVqDh3QhfzH1w9uoWAk1qAall2gRX_rre9eTk_BZKub90BnexNi9Rb2H7N752MVLmQBaiLhg45eWvk1aH5QJnQhSGNo4og3sbpK-P9EjlX9fqv98lRprQ6Y?authuser=0&fife=s16383,,,,,,,,,,,,,
151.0333228,-33.849216,0,Auburn: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWPckWUa2q9-zu-IJEHwzGSdR9N5kFoFaj2xTBKvkbbho3fpfDVQJJ55pepjmM5NgScif_JyBmPsz92OazBrWUCtI8z8f2GzTrtU_iPDk-r2NvDh3ZhBygw4PZGgr_IeOSJrsGk8TOOAnH2BOg77AasSf0y1V0UUTD3hhGMjzd0-GAhYOfyoeZ90cysNdgAz8ACWks?authuser=0&fife=s16383,,,,,,,,,,,,,
151.0346769,-33.8499838,0,Auburn: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUTy1HK9pTC41GlOp9-xMo_Xcib1tmid0tGhjJiAdP85yusQA4UKInKUFZT0clXbM2BMdR7NvAtNcUBNU43ky1m3Ud3E5toGoDkOxbITApAL8JW18Jaru8Q7Fb9Kv0BThqkO94gI0b7pf7FtnVzqkEDb6Wx9R9S0jimalb9sWVuYf41m4XJW2g-UkjRk34eFrel5-U?authuser=0&fife=s16383,,,,,,,,,,,,,
151.2146643,-33.9618466,0,Banksmeadow: Red-Light Speed Cameras,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVfZG8hV8IAEEVtXqeafz03HFoxveSqAD2EeHPCkV0ZXSNx-8oTrChBDZYlR5KTnkl7q_abIULh_Ej-kveLX2xnWeqpwfaNh8hhTbHGxlFPeJcXDjubBh6ZIOpl6ytm-UeFPzgUQo08Hbgm2mw8H8cQxSO_haqHycdS5BWU2Lbg1Fww5VjVYZj84vZ9bWodsmopylU?authuser=0&fife=s16383,,,,,,,,,,,,,
151.033325,-33.907354,0,Bankstown: School Zone RLSC,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUOGrIwxI-TfdvOaasLiqzKTjz-ZMvSB16gw_2rv5kCNWe3oTyp0xCkrBIyfUil62IIXv6yassogPxEjZPa9anRiCUzPrzMCOd-vnaZUQQKir03LFpwc_kSU6s-f_58j5hMnuwUf01Vs-JGVBvGzejZ3L5Ye4uN081benX0GCM7VRiF0EONPm01Y149YtRWsXDzxvA?authuser=0&fife=s16383,,,,,,,Variable Speed Limit Enforced.,,,,,,
151.04012,-33.906121,0,Bankstown: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAX41lJ5mg7GncnL2u8r7EYy0rAakgLLS2G2VihvHGfe06s_xzWpC21u-dVeyGHFd6g_liztfZiZIasEStK6_8Dy7xSKZECsra2ECH7c3jPVzFej97GWBsB-_7FIrgq6EeyYcF-N6uAtEbld3YmhukOlkDkXj5EQHbUnPAc1QaIhDovu8VtP_D4vwH95s0psKAIxrC0?authuser=0&fife=s16383,,,,,,,,,,,,,
150.9964398,-33.8989837,0,Bass Hill: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWPBnKQ3QPJW6mQ53BIVQBHLg4rGRhDewnO2j3-eoS2fWqm-f_36IGTsaMuuhKRaKTXN9S21IzC58HSw8Nv8X5aSMh9kg8jpL-W2huDf4XS_Gp8t_8lZkmrWrEWuKoWS1KGfXSEqo3cLKzVIvrcYrs90IHQNG9lH4C3po8PJLqVkhlQFZB839wdpUyZXAsVrPqtHHM?authuser=0&fife=s16383,,,,,,,,,,,,,
149.5729169,-33.4151156,0,Bathurst: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVp9Bj-u0G2XEvofCeZ9Gb6gaGvUP5GWJpdR3mgTIujOnqr00z6k-6tZmjw8cKyUggn6PTZTuqgG6JdNOwInut0CUeaTC1c9348LzBjdfSl7oA_w1WjxKUy34U9Rp2i5CN2YeX53iHcILwcGpDJKvkhBcpBW80JYsL1xMll_2XN9zy0l5XUCjmaXifgEf6sjq0p8fQ?authuser=0&fife=s16383,,,,,,,,,,,,,
149.5851002,-33.4175312,0,Bathurst: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAXdZNAW5w3WTj_soI7X7tFzygcg9l6p4IRlflot33QTagZo0Rsn4DLm6wB7JWaxVg-BbT3aeOxX11bNcI6yNE6Pqi1FSlk9hLUSrDjKxv0rmBevz_YFVAtogBTapkB93ZCAqLX9guofHcxKkHPkAjRQykBwoxwjeaYyDfVbOZWOt2MinpxHLvcgiSYAjlXp0RBavcs?authuser=0&fife=s16383,,,,,,,,,,,,,
150.992891,-33.761912,0,Baulkham Hills: Red-Light Speed Cameras,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVcJKfKmPFQa53vKLrZIiS3CH2CMbIpB4AEE33AFjfeAJhYBQJxZGtlS58l49jHjVT48cHpdQJ8TahjgLic6iuSXTwLZfbny89KS5DFmOhlRqQmnIGLJrRS6dZpfAoByPpvPSf4ElPqY1-5JfFhAMalD8SGmf4s2rbt84jIwFb-y8G9kvvYnMiFROHAsLkPeXkiJg0?authuser=0&fife=s16383,,,,,,,,,,,,,
151.197568,-33.911546,0,Beaconsfield: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWscKaJHPmt5OWFIsIdOEbj8RxHY4YXM5cuvqgbHG-gYVXyGwHulGpCIV4cirpAWz4DOTG6Y2Pygy2AbYxqJqABO58-OTkZctp7fCPoyaYy7sQBOKM_ronWd7UaUffXEuM0v4fO_U_ITiX72PG18ds5rlpOgucLDlwf4i8TJa5xVLq8Q6ZMcvdxBC459RTDmg9N7c8?authuser=0&fife=s16383,,,,,,,,,,,,,
151.083595,-33.902145,0,Belfield: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUhFISex6EeSnElSBQRvmc6tQBN15GFtQbr1xJocZ79v1mk3MQOSi0KqLfgsxtz_hcccbORwdHqDsuiQI0FI7QUtKAObjoN1LZJo0EgKkwJNj3d543KmLOuFWS0JBIqMw3Q6HpOVFlOyvFmlMb-saHAX8QzQ8kG9rBflOdAKDucensbOx3DDv3eFaWK4AarXaEJ1CE?authuser=0&fife=s16383,,,,,,,,,,,,,
151.098562,-33.929325,0,Belmore: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAV7H26kzhY3BaWcqmlS1tnMaUzCumHvObFlmwQXGUOwHMauPfbzGjPjBjMTTvKi2sljaTYD9RIQ6ceXbfb2Fe_2OAfsD5VqqxFHPCqyDE1Q_ogwQxpK42sdK8QpT2_yTs_0Rtd7ZbakjS1IR8q-dGZonNd_F5bzbCcVBObGvcVD2G3CI3Uu9DmWboEk7wEs-O7jQFU?authuser=0&fife=s16383,,,,,,,,,,,,,
151.127873,-33.948211,0,Bexley: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWJDsf21JOwNA5kZlrnG2XLW1ZSo4r36LAfa6_6RGJsiURNoiYfe1YUj871PwqoDVWIuleVyIP_gOq3fJxMYngwAlRtl_WjoFlrQ8ZukdhA1lAjbQyRO1iO5gtSotI_hkJFoCYT6NgVOc2FCASclS2VtZx158nb-WWket0Amp6doh5_uTcsniYtGjrvtjY03QcZaFA?authuser=0&fife=s16383,,,,,,,,,,,,,
151.131843,-33.952823,0,Bexley: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVqzr3rA9nMYbYSZr7jopQMM7iIXWU3CZGwCHa61KCQeT_qkCgK79OvklUxk0yfM5oLvCN0f2u8a6HVFsm6P7T7VWjzHussV3g3lH1TT-okD9c-qNXeqTnOwqAmTd2aRYXU4sTxWPvioKPq6JY-QxTpEOkS6FAbXlzQDMFWDItydGUIXR2d_GMH69HxE5DBJ31TX7Q?authuser=0&fife=s16383,,,,,,,,,,,,,
150.8971203,-33.798158,0,Blacktown: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWoGsQjVUxj9qHpliu53Ghizgeucda1Wal19Vg2oJ4q0qfSxHBClpRyq8ipFQoqGLD_BrhBX93oJc74dYQn32GQG_jsXLQzEXaJ8C3qdQEH1Bc2wDvnxq2N1hhHl8erOZ1JcX22MPN-6BDaxzw5MPtYvjjyMpcZONiaW7xIagUt5IpL96y3l0VN9igQrqbhjt1ewWQ?authuser=0&fife=s16383,,,,,,,,,,,,,
150.9015786,-33.7765792,0,Blacktown: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUmuImrsJCkp_Pmua9aE4_zPqljfLz60cCG4HAJNA3yPW-DJ0CsUoMtlH0_09MWBHWWQ4dN97rXwtC5CI_4fusyWJGoGbHQS3HjiD2udTy8rwHOltlR73X2IKpjTHACmfZd__BD-MszVJdiDHy1RI23kJxiHtSwT4asoxBLUVGHSOfSFmj_XicfEsXqswBN3wvnXmU?authuser=0&fife=s16383,,,,,,,,,,,,,
150.892408,-33.769152,0,Blacktown: School Zone RLSC,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVB4M8WAYHH-zi3K202wgGwGq1GvigYnc1MSPCkUufARkqZ_7sYn0X3XeT9f0DH45d91K4b0WSLz7WnuaCVHG6uL4PuDCPKGsJ59nPOBWp6RoseUb3cNyY6Mx70X02d6erZfy3YleYIX6hE5PZ2oP9NFjlVvHOS-ig7jSr1LAAGUH0SY4iG0NX4X0h6UrvrxDe7kO4?authuser=0&fife=s16383,,,,,,,Variable Speed Limit Enforced.,,,,,,
150.908042,-33.773422,0,Blacktown: School Zone RLSC,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVqGTSE0ygURBsjE33VbGHYrd9hkm2wdzwJcxBBAHe9__GgRt-EixvV9FsHWoJn-IHjOUSE4mHIdDiYpCXvCDbYKVhn_vJSNSe2TX_aIRyy6HpZseTDM-eBPMyuyOxIYmfv-YbVJdWMK9ZzMJibY8hmKMzjmdtRokTBAtmAngtXC5DM02CtPuT17gk_9rhNXTTHvkU?authuser=0&fife=s16383,,,,,,,Variable Speed Limit Enforced.,,,,,,
150.919112,-33.7926928,0,Blacktown: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWvwFH8KHBGJVhQkp-KYwQr3NTYRl080H5ysLITKe6g53F1BBUp9RHHrmVFYLzAY06-Aw_nkSjY8RUtHS7WYfRHVnHX49AIhhKFBUxXMMd9K40YyXKsMSu6_JVqwhN7FWc5aoDhyPuQsSwjdtO-4mqgnZO6lKFSIWxrGARV9HL3ozvJfgOpQLYitSf1VoYurDYcbiE?authuser=0&fife=s16383,Prospect Highway / Blacktown Road,,,,,,,,,,,,
150.91161,-33.771875,0,Blacktown: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVwAeMeV6pzpKb55zYtj6LayOosZe6_6C-ItTAVVP5UlAL224gIp4adC4A_1o4wkafI_EoVv-NHSwwNdxbbRpGyolZuOSeqJ9gKsDbxszRIraw-zxiHhksLqbXLxe76bF1M6XEAJeZb5AENQL-X_6FHZW8TwFcuEyFRsjixGcw1ZeBW5AB16y13oABNfh6F4N1HhmA?authuser=0&fife=s16383,,,,,,,,,,,,,
